partitions,par_start,par_end,loci,loci_start,loci_end,genomes,gen_start,gen_end
accD_3stpos,154551,155481,,,,,,
atpA_1stpos,155482,157002,,,,,,
atpA_2ndpos,155483,157002,,,,,,
atpA_3stpos,155484,157002,,,,,,
atpB_1stpos,157003,158472,,,,,,
atpB_2ndpos,157004,158472,,,,,,
atpB_3stpos,157005,158472,,,,,,
atpE_1stpos,158473,158871,,,,,,
atpE_2ndpos,158474,158871,,,,,,
atpE_3stpos,158475,158871,,,,,,
atpF_1stpos,158872,159279,,,,,,
atpF_2ndpos,158873,159279,,,,,,
atpF_3stpos,158874,159279,,,,,,
atpH_1stpos,159280,159522,,,,,,
atpH_2ndpos,159281,159522,,,,,,
atpH_3stpos,159282,159522,,,,,,
atpI_1stpos,159523,160257,,,,,,
atpI_2ndpos,159524,160257,,,,,,
atpI_3stpos,159525,160257,,,,,,
cemA_1stpos,160258,161706,,,,,,
cemA_2ndpos,160259,161706,,,,,,
cemA_3stpos,160260,161706,,,,,,
chlB_1stpos,161707,163215,,,,,,
chlB_2ndpos,161708,163215,,,,,,
chlB_3stpos,161709,163215,,,,,,
chlL_1stpos,163216,164061,,,,,,
chlL_2ndpos,163217,164061,,,,,,
chlL_3stpos,163218,164061,,,,,,
chlN_1stpos,164062,165456,,,,,,
chlN_2ndpos,164063,165456,,,,,,
chlN_3stpos,164064,165456,,,,,,
clpP_1stpos,165457,166047,,,,,,
clpP_2ndpos,165458,166047,,,,,,
clpP_3stpos,165459,166047,,,,,,
infA_1stpos,166048,166281,,,,,,
infA_2ndpos,166049,166281,,,,,,
infA_3stpos,166050,166281,,,,,,
matK_1stpos,166282,167766,,,,,,
matK_2ndpos,166283,167766,,,,,,
matK_3stpos,166284,167766,,,,,,
ndhA_1stpos,167767,168861,,,,,,
ndhA_2ndpos,167768,168861,,,,,,
ndhA_3stpos,167769,168861,,,,,,
ndhB_1stpos,168862,170349,,,,,,
ndhB_2ndpos,168863,170349,,,,,,
ndhB_3stpos,168864,170349,,,,,,
ndhC_1stpos,170350,170712,,,,,,
ndhC_2ndpos,170351,170712,,,,,,
ndhC_3stpos,170352,170712,,,,,,
ndhD_1stpos,170713,172200,,,,,,
ndhD_2ndpos,170714,172200,,,,,,
ndhD_3stpos,170715,172200,,,,,,
ndhE_1stpos,172201,172500,,,,,,
ndhE_2ndpos,172202,172500,,,,,,
ndhE_3stpos,172203,172500,,,,,,
ndhF_1stpos,172501,174510,,,,,,
ndhF_2ndpos,172502,174510,,,,,,
ndhF_3stpos,172503,174510,,,,,,
ndhG_1stpos,174511,175077,,,,,,
ndhG_2ndpos,174512,175077,,,,,,
ndhG_3stpos,174513,175077,,,,,,
ndhH_1stpos,175078,176250,,,,,,
ndhH_2ndpos,175079,176250,,,,,,
ndhH_3stpos,175080,176250,,,,,,
ndhI_1stpos,176251,176784,,,,,,
ndhI_2ndpos,176252,176784,,,,,,
ndhI_3stpos,176253,176784,,,,,,
ndhJ_1stpos,176785,177285,,,,,,
ndhJ_2ndpos,176786,177285,,,,,,
ndhJ_3stpos,176787,177285,,,,,,
ndhK_1stpos,177286,177942,,,,,,
ndhK_2ndpos,177287,177942,,,,,,
ndhK_3stpos,177288,177942,,,,,,
petA_1stpos,177943,178884,,,,,,
petA_2ndpos,177944,178884,,,,,,
petA_3stpos,177945,178884,,,,,,
petB_1stpos,178885,179520,,,,,,
petB_2ndpos,178886,179520,,,,,,
petB_3stpos,178887,179520,,,,,,
petD_1stpos,179521,179991,,,,,,
petD_2ndpos,179522,179991,,,,,,
petD_3stpos,179523,179991,,,,,,
petG_1stpos,179992,180102,,,,,,
petG_2ndpos,179993,180102,,,,,,
petG_3stpos,179994,180102,,,,,,
petL_1stpos,180103,180195,,,,,,
petL_2ndpos,180104,180195,,,,,,
petL_3stpos,180105,180195,,,,,,
psaA_1stpos,180196,182445,,,,,,
psaA_2ndpos,180197,182445,,,,,,
psaA_3stpos,180198,182445,,,,,,
psaB_1stpos,182446,184647,,,,,,
psaB_2ndpos,182447,184647,,,,,,
psaB_3stpos,182448,184647,,,,,,
psaC_1stpos,184648,184890,,,,,,
psaC_2ndpos,184649,184890,,,,,,
psaC_3stpos,184650,184890,,,,,,
psaI_1stpos,184891,184998,,,,,,
psaI_2ndpos,184892,184998,,,,,,
psaI_3stpos,184893,184998,,,,,,
psaJ_1stpos,184999,185124,,,,,,
psaJ_2ndpos,185000,185124,,,,,,
psaJ_3stpos,185001,185124,,,,,,
psaM_1stpos,185125,185220,,,,,,
psaM_2ndpos,185126,185220,,,,,,
psaM_3stpos,185127,185220,,,,,,
psbA_1stpos,185221,186279,,,,,,
psbA_2ndpos,185222,186279,,,,,,
psbA_3stpos,185223,186279,,,,,,
psbB_1stpos,186280,187803,,,,,,
psbB_2ndpos,186281,187803,,,,,,
psbB_3stpos,186282,187803,,,,,,
psbC_1stpos,187804,189222,,,,,,
psbC_2ndpos,187805,189222,,,,,,
psbC_3stpos,187806,189222,,,,,,
psbD_1stpos,189223,190281,,,,,,
psbD_2ndpos,189224,190281,,,,,,
psbD_3stpos,189225,190281,,,,,,
psbE_1stpos,190282,190530,,,,,,
psbE_2ndpos,190283,190530,,,,,,
psbE_3stpos,190284,190530,,,,,,
psbF_1stpos,190531,190647,,,,,,
psbF_2ndpos,190532,190647,,,,,,
psbF_3stpos,190533,190647,,,,,,
psbH_1stpos,190648,190869,,,,,,
psbH_2ndpos,190649,190869,,,,,,
psbH_3stpos,190650,190869,,,,,,
psbI_1stpos,190870,190977,,,,,,
psbI_2ndpos,190871,190977,,,,,,
psbI_3stpos,190872,190977,,,,,,
psbJ_1stpos,190978,191097,,,,,,
psbJ_2ndpos,190979,191097,,,,,,
psbJ_3stpos,190980,191097,,,,,,
psbK_1stpos,191098,191265,,,,,,
psbK_2ndpos,191099,191265,,,,,,
psbK_3stpos,191100,191265,,,,,,
psbL_1stpos,191266,191379,,,,,,
psbL_2ndpos,191267,191379,,,,,,
psbL_3stpos,191268,191379,,,,,,
psbM_1stpos,191380,191478,,,,,,
psbM_2ndpos,191381,191478,,,,,,
psbM_3stpos,191382,191478,,,,,,
psbN_1stpos,191479,191607,,,,,,
psbN_2ndpos,191480,191607,,,,,,
psbN_3stpos,191481,191607,,,,,,
psbT_1stpos,191608,191712,,,,,,
psbT_2ndpos,191609,191712,,,,,,
psbT_3stpos,191610,191712,,,,,,
psbZ_1stpos,191713,191898,,,,,,
psbZ_2ndpos,191714,191898,,,,,,
psbZ_3stpos,191715,191898,,,,,,
rbcL_1stpos,191899,193320,,,,,,
rbcL_2ndpos,191900,193320,,,,,,
rbcL_3stpos,191901,193320,,,,,,
rpl14_1stpos,193321,193686,,,,,,
rpl14_2ndpos,193322,193686,,,,,,
rpl14_3stpos,193323,193686,,,,,,
rpl16_1stpos,193687,194118,,,,,,
rpl16_2ndpos,193688,194118,,,,,,
rpl16_3stpos,193689,194118,,,,,,
rpl2_1stpos,194119,194949,,,,,,
rpl2_2ndpos,194120,194949,,,,,,
rpl2_3stpos,194121,194949,,,,,,
rpl20_1stpos,194950,195294,,,,,,
rpl20_2ndpos,194951,195294,,,,,,
rpl20_3stpos,194952,195294,,,,,,
rpl21_1stpos,195295,195642,,,,,,
rpl21_2ndpos,195296,195642,,,,,,
rpl21_3stpos,195297,195642,,,,,,
rpl22_1stpos,195643,195993,,,,,,
rpl22_2ndpos,195644,195993,,,,,,
rpl22_3stpos,195645,195993,,,,,,
rpl23_1stpos,195994,196266,,,,,,
rpl23_2ndpos,195995,196266,,,,,,
rpl23_3stpos,195996,196266,,,,,,
rpl32_1stpos,196267,196431,,,,,,
rpl32_2ndpos,196268,196431,,,,,,
rpl32_3stpos,196269,196431,,,,,,
rpl33_1stpos,196432,196626,,,,,,
rpl33_2ndpos,196433,196626,,,,,,
rpl33_3stpos,196434,196626,,,,,,
rpl36_1stpos,196627,196737,,,,,,
rpl36_2ndpos,196628,196737,,,,,,
rpl36_3stpos,196629,196737,,,,,,
rpoB_1stpos,196738,199902,,,,,,
rpoB_2ndpos,196739,199902,,,,,,
rpoB_3stpos,196740,199902,,,,,,
rpoC1_1stpos,199903,201912,,,,,,
rpoC1_2ndpos,199904,201912,,,,,,
rpoC1_3stpos,199905,201912,,,,,,
rpoC2_1stpos,201913,205707,,,,,,
rpoC2_2ndpos,201914,205707,,,,,,
rpoC2_3stpos,201915,205707,,,,,,
rps11_1stpos,205708,206097,,,,,,
rps11_2ndpos,205709,206097,,,,,,
rps11_3stpos,205710,206097,,,,,,
rps12_1stpos,206098,206442,,,,,,
rps12_2ndpos,206099,206442,,,,,,
rps12_3stpos,206100,206442,,,,,,
rps14_1stpos,206443,206742,,,,,,
rps14_2ndpos,206444,206742,,,,,,
rps14_3stpos,206445,206742,,,,,,
rps15_1stpos,206743,207006,,,,,,
rps15_2ndpos,206744,207006,,,,,,
rps15_3stpos,206745,207006,,,,,,
rps18_1stpos,207007,207231,,,,,,
rps18_2ndpos,207008,207231,,,,,,
rps18_3stpos,207009,207231,,,,,,
rps19_1stpos,207232,207507,,,,,,
rps19_2ndpos,207233,207507,,,,,,
rps19_3stpos,207234,207507,,,,,,
rps2_1stpos,207508,208215,,,,,,
